"id","status","fence.type","fence.coordinates"
"debugMegaPark","published","Polygon","[[[13.383504256196943,52.5492788603037],[13.360703455799495,52.53907535926186],[13.282646477306741,52.527919980465725],[13.282216273525478,52.51823508335244],[13.286088107555031,52.510904552627096],[13.279635050839545,52.501215904095716],[13.286088107555031,52.4936206055456],[13.291680756710491,52.49309674348888],[13.315772168451247,52.47868809128386],[13.34674684069094,52.477640005190125],[13.353199897407563,52.47397150725206],[13.362234176810205,52.47423355296175],[13.377721512930663,52.46951649143767],[13.389767218800387,52.470040634352415],[13.406975370044421,52.46086723213568],[13.45472798974697,52.46322628957793],[13.45903002755773,52.486547941219214],[13.468064306961509,52.49754937205367],[13.468924714526622,52.50409653619457],[13.474087159899682,52.51064272533972],[13.472796548556175,52.52216165034656],[13.460320638903994,52.52504090976697],[13.446554117909471,52.53655606027809],[13.4134284267638,52.55016098198388],[13.383504256196943,52.5492788603037]]]"
"doraDucker","published","Polygon","[[[13.372874360636217,52.49214625907305],[13.37504416679073,52.49170187665473],[13.37299271369875,52.48795447335664],[13.372499575936445,52.48800251900926],[13.372874360636217,52.49214625907305]]]"
"gleisdreieckOstpark","published","Polygon","[[[13.37638245157379,52.498251941881534],[13.378486619022283,52.49799911479002],[13.376603942884117,52.49523477708317],[13.377600653780831,52.49509992689573],[13.379594075575852,52.498251941880824],[13.37946172535942,52.49381717169106],[13.376083982884552,52.49277203822729],[13.37616704212499,52.49176059509827],[13.373869069780909,52.49231689169781],[13.373287655091474,52.494204876172006],[13.37442279806973,52.49707041200381],[13.375211860862763,52.497980602033564],[13.375585627448544,52.49782890454918],[13.37638245157379,52.498251941881534]]]"
"gleisdreieckWestpark","published","Polygon","[[[13.369603730515877,52.49876504836271],[13.370247532278285,52.49870183336739],[13.371696564251437,52.49979697852777],[13.372091392633365,52.50154716038466],[13.373275157165295,52.50320325607575],[13.373877423331464,52.502899853899464],[13.37321285376953,52.50048520360116],[13.373109014775736,52.49996685823615],[13.372880568988592,52.499928930286984],[13.373025943587749,52.497337109555644],[13.372589819812987,52.49613597009082],[13.370637646728227,52.49468191526279],[13.369183900812033,52.494024413813776],[13.368498563451539,52.49413821284497],[13.36845702785348,52.49650263720025],[13.367003281937286,52.49694516239302],[13.367148656529167,52.49710952775888],[13.368706241439213,52.49703366689735],[13.369603730515877,52.49876504836271]]]"
"nellySachs","published","Polygon","[[[13.366222382663665,52.49893478070959],[13.366504971811594,52.498886396249446],[13.36652263363311,52.498751994691816],[13.368845163191764,52.498477814240346],[13.368474264934576,52.49765526262652],[13.367909086638775,52.49772515323133],[13.367670652046257,52.49746171883416],[13.367379231987627,52.49753160974615],[13.366884700977977,52.49716064901898],[13.366610942740863,52.497198282858704],[13.366734575493268,52.4975423621847],[13.366504971811594,52.49764451021608],[13.366337184503749,52.497666015034355],[13.36669042093942,52.49860146445968],[13.366637435474757,52.498671353559956],[13.366160566286737,52.49874661862103],[13.366222382663665,52.49893478070959]]]"
