id|fenceId|title|coordinates
1|1|Grundschule Köppern|[8.645855765050953,50.273970806972216]
2|1|Sv Teutonia Köppern|[8.6456772293823,50.27570200861072]
3|1|Cinema|[8.650663895243099,50.2742325997815]
4|1|Wiener Straße|[8.650338956603946,50.27207006423191]
