"id","title","geometry.type","geometry.coordinates"
1,"Köppern","Polygon","[[[8.643090736986949,50.27366061273895],[8.643004906298472,50.276005658992716],[8.644549858690539,50.276951873021005],[8.649184715868472,50.27685588115119],[8.652145874622192,50.275498261116866],[8.65523577940803,50.273550900145125],[8.651695263507833,50.27185032260195],[8.647768509509973,50.2705474196822],[8.644893181445838,50.27108229993138],[8.643090736986949,50.27366061273895]]]"
3,"Bockenheim Clemensstraße","Polygon","[[[8.648984277103068,50.121432566427075],[8.649052121041706,50.12136248465745],[8.649165194274076,50.12143981625937],[8.649485568431999,50.121258570120574],[8.650333617674733,50.12186030465787],[8.65021677533403,50.12193280228439],[8.650058472809235,50.12180230647783],[8.649945399576836,50.121862721247595],[8.64995670690061,50.121882053957535],[8.649112426766237,50.1223363703987],[8.64896543156388,50.12222279169265],[8.649255652860234,50.1220439650985],[8.649233038214021,50.122027049034955],[8.649564719694382,50.121838555348745],[8.648984277103068,50.121432566427075]]]"
4,"Bänkle","Polygon","[[[7.86313537573082,47.98688937137649],[7.863893201153104,47.98681902791452],[7.863981706311961,47.98719666011294],[7.863904264297844,47.98724664063786],[7.863884903795025,47.98727625870433],[7.863848948574201,47.98728366321811],[7.863854480146557,47.98737621955158],[7.863467270076825,47.98742990214953],[7.863445143786436,47.98732253689843],[7.863400891207419,47.98732253689843],[7.863384296490352,47.987298472242514],[7.863309620261902,47.98730402562586],[7.863246007179129,47.98731698351767],[7.86313537573082,47.98688937137649]]]"
5,"Brunnenpark","Polygon","[[[7.86526090766813,47.98769986849183],[7.865308180894488,47.987234404812],[7.865371646014523,47.98725210354257],[7.865551463853677,47.987160070076584],[7.865699549132415,47.987163609828286],[7.865916388291936,47.98758837827444],[7.865831768132267,47.987662712393586],[7.865223560734847,47.98785739648255],[7.865234138254749,47.98790695231534],[7.864879791336307,47.98805561952764],[7.86417638625943,47.98808393704371],[7.864086477339839,47.98800252414367],[7.86526090766813,47.98769986849183]]]"
6,"Die Wiehre","Polygon","[[[7.85964909622237,47.98671938545709],[7.859938548483086,47.98676162758596],[7.859962488143111,47.98678930344451],[7.860080010114501,47.986802413056125],[7.86005389411983,47.98691165969379],[7.859932019483665,47.9868883537641],[7.859897198159501,47.986902919971385],[7.85987978749742,47.98696992447245],[7.859714386206036,47.98704421197053],[7.859609922231954,47.98703110241976],[7.859551161247822,47.98701799286573],[7.85964909622237,47.98671938545709]]]"
7,"Deutsches Romantik-Museum","Polygon","[[[8.677112154601929,50.111336486159445],[8.677796361479238,50.11127732472286],[8.677634919407296,50.11076212412124],[8.676954556388125,50.11080896076851],[8.677112154601929,50.111336486159445]]]"
